adventure_keyword_count,adventure_keyword_binary,relaxation_keyword_count,relaxation_keyword_binary,culture_keyword_count,culture_keyword_binary,budget_keyword_count,budget_keyword_binary,luxury_keyword_count,luxury_keyword_binary,family_keyword_count,family_keyword_binary,adventure_keyword_ratio,relaxation_keyword_ratio,culture_keyword_ratio,budget_keyword_ratio,luxury_keyword_ratio,family_keyword_ratio,price_tier,region_southeast_asia,region_east_asia,region_south_asia,region_central_asia,region_western_europe,region_eastern_europe,region_southern_europe,region_northern_europe,region_north_america,region_central_america,region_south_america,region_caribbean,region_north_africa,region_west_africa,region_east_africa,region_southern_africa,region_middle_east,region_oceania,destination_name,label
6,1,1,0,6,1,0,0,0,0,1,1,0.42857142857142855,0.07142857142857142,0.42857142857142855,0.0,0.0,0.07142857142857142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sa Pa,Culture
0,0,0,0,4,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyoto,Culture
2,0,0,0,0,0,0,0,1,1,1,1,0.5,0.0,0.0,0.0,0.25,0.25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zermatt,Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maldives,Luxury
0,0,1,0,3,1,0,0,0,0,0,0,0.0,0.25,0.75,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Rome,Culture
3,1,1,0,7,1,0,0,0,0,0,0,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoi An,Culture
0,0,1,0,3,1,0,0,0,0,0,0,0.0,0.25,0.75,0.0,0.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kathmandu,Culture
0,0,0,0,2,0,1,1,2,1,1,1,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Monaco,Luxury
0,0,0,0,1,0,0,0,0,0,2,1,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Orlando,Family
2,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Barbados,Relaxation
